num_distr,mouse.time,,,,,
5,1.4043261,,,,,
10,1.6882585,,,,,
5,1.5403176,,meanRT_5,meanRT_10,,
5,2.1642463,,1.969900753,1.973145046,,
10,3.1158324,in ms,1969.9007,1973.145,,
10,2.4657333,,,Slope,0.64886,648.86 miliseconds
5,2.2814423,,,,,
5,2.1753379,,,,,
5,1.9289114,,,,,
5,1.123766,,,,,
5,1.5300573,,,,,
5,1.4543302,,,,,
10,1.2353866,,,,,
5,1.9009316,,,,,
5,2.8329872,,,,,
5,1.703473,,,,,
5,1.3129858,,,,,
5,2.0311547,,,,,
5,1.8653173,,,,,
5,1.7692818,,,,,
10,1.7595546,,,,,
5,1.2773397,,,,,
10,1.8945455,,,,,
5,1.347053,,,,,
5,2.0114438,,,,,
5,1.5437232,,,,,
10,1.3427508,,,,,
10,2.6037073,,,,,
10,2.1383628,,,,,
10,1.3223213,,,,,
10,2.3178862,,,,,
10,1.4610615,,,,,
10,2.2963753,,,,,
10,3.6731202,,,,,
10,3.3895088,,,,,
5,1.7408993,,,,,
5,1.9788261,,,,,
5,1.9415439,,,,,
5,2.0606831,,,,,
5,1.9124208,,,,,
5,1.9729316,,,,,
10,2.0267525,,,,,
10,1.614253,,,,,
10,1.9419272,,,,,
10,2.0013217,,,,,
5,1.4627284,,,,,
10,2.4470925,,,,,
5,1.8128213,,,,,
10,2.2242921,,,,,
10,2.1265282,,,,,
10,2.587194,,,,,
10,2.2412463,,,,,
5,1.493285,,,,,
10,2.1510177,,,,,
10,2.7546463,,,,,
10,2.4399101,,,,,
10,2.2658987,,,,,
5,2.1134128,,,,,
10,1.7294141,,,,,
10,2.1444489,,,,,
10,2.9432572,,,,,
10,1.5688497,,,,,
5,1.5616865,,,,,
5,1.9988266,,,,,
5,1.4269977,,,,,
5,1.7972336,,,,,
10,1.7142108,,,,,
10,2.4591263,,,,,
5,1.9812219,,,,,
5,1.6449322,,,,,
10,1.3247352,,,,,
10,1.8573701,,,,,
5,1.3840358,,,,,
10,1.2617529,,,,,
5,1.6756064,,,,,
5,1.3772025,,,,,
10,1.7875335,,,,,
10,1.482117,,,,,
5,1.5420412,,,,,
10,1.5389411,,,,,
5,2.1149135,,,,,
10,1.951381,,,,,
10,2.4285428,,,,,
10,2.2579013,,,,,
10,1.9866925,,,,,
5,1.9439535,,,,,
5,1.4262381,,,,,
5,1.494269,,,,,
5,2.236344,,,,,
5,2.3925139,,,,,
5,1.6925473,,,,,
5,1.6024535,,,,,
5,1.4693268,,,,,
10,1.7948014,,,,,
5,1.9992442,,,,,
5,1.2072479,,,,,
10,0.1552738,,,,,
10,2.0370464,,,,,
10,1.2570303,,,,,
10,1.433103,,,,,
10,3.6758391,,,,,
5,1.6327815,,,,,
10,1.4645808,,,,,
5,2.1576787,,,,,
10,1.996451,,,,,
5,1.5969155,,,,,
10,2.8716605,,,,,
5,1.4308875,,,,,
5,1.3883063,,,,,
5,1.5781669,,,,,
10,1.6747131,,,,,
5,2.526978,,,,,
10,3.7503222,,,,,
5,1.895396,,,,,
5,1.4914688,,,,,
5,1.3497606,,,,,
5,1.5100404,,,,,
5,1.463637,,,,,
10,2.0250715,,,,,
5,2.1319722,,,,,
5,2.2566264,,,,,
10,1.4565216,,,,,
10,2.4540826,,,,,
5,2.7098234,,,,,
10,2.1464656,,,,,
10,1.7187893,,,,,
10,1.6063696,,,,,
10,3.2595667,,,,,
5,1.5784302,,,,,
5,1.7433284,,,,,
10,1.8284751,,,,,
10,2.3396969,,,,,
5,1.5515307,,,,,
5,2.2709614,,,,,
5,1.8970392,,,,,
5,2.0815317,,,,,
5,1.4506033,,,,,
5,2.2327169,,,,,
5,1.532349,,,,,
10,1.4700604,,,,,
10,1.5509245,,,,,
10,2.101992,,,,,
10,2.6744459,,,,,
10,5.7866153,,,,,
10,2.0593591,,,,,
10,1.6933883,,,,,
5,1.9700995,,,,,
10,2.4020047,,,,,
5,2.5636621,,,,,
5,1.6980827,,,,,
10,1.6130387,,,,,
10,1.5746416,,,,,
10,1.9544446,,,,,
5,1.4879834,,,,,
10,1.6296379,,,,,
10,1.6766926,,,,,
5,1.65303,,,,,
5,1.6804607,,,,,
5,2.1489876,,,,,
5,2.0536293,,,,,
5,2.4579602,,,,,
10,5.5592671,,,,,
5,1.7872905,,,,,
5,1.4948024,,,,,
10,1.5068424,,,,,
5,1.6112361,,,,,
10,3.0363969,,,,,
5,2.0021545,,,,,
10,1.5757358,,,,,
5,1.8144319,,,,,
5,1.8154747,,,,,
10,2.5059292,,,,,
5,1.7984815,,,,,
5,2.6153893,,,,,
10,2.310182,,,,,
10,2.5749784,,,,,
5,2.2071182,,,,,
5,1.9350312,,,,,
5,2.2399313,,,,,
10,2.0494989,,,,,
10,1.6207646,,,,,
5,2.4991106,,,,,
5,1.8117392,,,,,
5,2.211449,,,,,
5,1.5089451,,,,,
5,1.7127397,,,,,
5,2.3511666,,,,,
5,2.2355,,,,,
10,1.8001804,,,,,
5,1.8185439,,,,,
10,1.582256,,,,,
10,1.5964206,,,,,
10,2.6700486,,,,,
5,1.8473204,,,,,
10,2.2951278,,,,,
5,2.1735568,,,,,
10,1.85442,,,,,
10,1.5495107,,,,,
10,2.824397,,,,,
10,1.731315,,,,,
