trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,Fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.047788099851459265,,0.00567549979314208,5,0.047788099851459265,0.047788099851459265,0.03459229995496571,1.4397393998224288,[0.12109375],[-0.4453125],[1],[0],[0],[1.404326100135222],[],Final_Ayushi,001,2024-10-04_11h30.02.935,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-04 11h30.17.854151 +0530,
1,0,1,0,1.5220734998583794,,1.4460732999723405,10,1.5220734998583794,1.5220734998583794,0.05590700008906424,3.189581499900669,[0.10026041666666667],[-0.4244791666666667],[1],[0],[0],[1.6882585000712425],['target'],Final_Ayushi,001,2024-10-04_11h30.02.935,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-04 11h30.17.854151 +0530,
2,0,2,0,3.228047000011429,,3.194421699969098,5,3.228047000011429,3.228047000011429,0.022843000013381243,4.757045099977404,[0.2760416666666667],[-0.12369791666666667],[1],[0],[0],[1.5403176001273096],['target'],Final_Ayushi,001,2024-10-04_11h30.02.935,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-04 11h30.17.854151 +0530,
3,0,3,0,4.80825709993951,,4.762088799849153,5,4.80825709993951,4.80825709993951,0.03121170005761087,6.957404599990696,[-0.22786458333333334],[0.024739583333333332],[1],[0],[0],[2.16424630000256],['target'],Final_Ayushi,001,2024-10-04_11h30.02.935,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-04 11h30.17.854151 +0530,
4,0,4,0,7.011486699804664,,6.964288199786097,10,7.011486699804664,7.011486699804664,0.03758360003121197,10.116763999918476,[-0.2669270833333333],[-0.4283854166666667],[1],[0],[0],[3.1158324000425637],['target'],Final_Ayushi,001,2024-10-04_11h30.02.935,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-04 11h30.17.854151 +0530,
5,0,5,0,10.194166499888524,,10.122383699985221,10,10.194166499888524,10.194166499888524,0.051549999974668026,12.638939099851996,[0.15755208333333334],[-0.22395833333333334],[1],[0],[0],[2.465733300196007],[],Final_Ayushi,001,2024-10-04_11h30.02.935,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-04 11h30.17.854151 +0530,
6,0,6,0,12.689808199880645,,12.644921599887311,5,12.689808199880645,12.689808199880645,0.03215560014359653,14.957784399855882,[0.4856770833333333],[-0.3971354166666667],[1],[0],[0],[2.281442299950868],['target'],Final_Ayushi,001,2024-10-04_11h30.02.935,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-04 11h30.17.854151 +0530,
7,0,7,0,14.994136199820787,,14.96208869991824,5,14.994136199820787,14.994136199820787,0.020582800032570958,17.157643100013956,[-0.3072916666666667],[-0.07421875],[1],[0],[0],[2.175337899941951],[],Final_Ayushi,001,2024-10-04_11h30.02.935,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-04 11h30.17.854151 +0530,
8,0,8,0,17.18732179980725,,17.160799599951133,5,17.18732179980725,17.18732179980725,0.018437799997627735,19.107866999926046,[-0.2565104166666667],[0.2942708333333333],[1],[0],[0],[1.928911400027573],['target'],Final_Ayushi,001,2024-10-04_11h30.02.935,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-04 11h30.17.854151 +0530,
9,0,9,0,19.14661129983142,,19.11276049981825,5,19.14661129983142,19.14661129983142,0.022571800043806434,20.25876329978928,[-0.3203125],[0.3138020833333333],[1],[0],[0],[1.123765999916941],['target'],Final_Ayushi,001,2024-10-04_11h30.02.935,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-04 11h30.17.854151 +0530,
