num_distr,mouse.time,mouse.clicked_name,,,,,,
10,2.0481368,['target'],,,,,,
10,1.3898616,['target'],,,,,,
5,1.5286672,['target'],,,,Set size,Mean RT,in miliseconds
5,1.1320479,['target'],,,meanRT_5,5,1.16563866,1165.639
10,1.4084896,['target'],,,meanRT_10,10,1.172377728,1172.378
5,1.3472283,['target'],,,,,,
10,1.2411494,[],,,,,,
10,1.2082821,[],,,,,,
10,1.3991137,[],,,,,,
5,1.9443474,[],,,,,,
10,1.0167463,[],,,,,,
5,0.8137043,[],,,,,,
10,1.1819311,['target'],,,Slope,,,
10,1.1163973,['target'],,,,,,
5,0.8791884,['target'],,,,,,
10,1.1835935,['target'],,,,,,
5,1.3110141,['target'],,,,,,
10,1.0984424,['target'],,,,,,
5,1.0104076,[],,,,,,
5,1.2761388,['target'],,,,,,
10,1.5512311,[],,,,,,
10,1.0585211,[],,,,,,
10,0.7806638,['target'],,,,,,
10,0.6745806,[],,,,,,
5,1.7288069,['target'],,,,,,
5,1.1911382,['target'],,,,,,
5,1.2949669,['target'],,,,,,
10,1.2271164,['target'],,,,,,
5,1.0786913,[],,,,,,
10,0.9755691,['target'],,,,,,
10,0.8566289,[],,,,,,
10,0.8175024,['target'],,,,,,
5,1.1987955,['target'],,,,,,
10,0.9946114,['target'],,,,,,
10,1.156238,['target'],,,,,,
10,0.7779863,[],,,,,,
5,0.8775727,['target'],,,,,,
10,0.9533376,['target'],,,,,,
10,1.1502759,[],,,,,,
5,0.7927086,['target'],,,,,,
10,0.9086022,['target'],,,,,,
5,1.0257455,[],,,,,,
5,1.1247134,[],,,,,,
5,1.1444965,['target'],,,,,,
5,1.0437395,['target'],,,,,,
10,0.9114551,['target'],,,,,,
10,1.2021804,['target'],,,,,,
10,1.1237188,['target'],,,,,,
10,1.2925114,['target'],,,,,,
10,1.1466854,['target'],,,,,,
10,1.1784414,['target'],,,,,,
10,1.2956615,['target'],,,,,,
5,0.7493965,[],,,,,,
5,0.6909906,['target'],,,,,,
