trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,Fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.032537000020965934,,0.004474200017284602,5,0.032537000020965934,0.032537000020965934,0.020521299971733242,2.6581936000147834,[0.44921875],[-0.35546875],[1],[0],[0],[2.6370248000021093],['target'],participant2,001,2024-10-10_19h10.18.493,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 19h10.30.808189 +0530,
1,0,1,0,2.6825748999835923,,2.6616922999965027,5,2.6825748999835923,2.6825748999835923,0.014690000039990991,6.058493199991062,[-0.4036458333333333],[-0.16796875],[1],[0],[0],[3.382378400012385],['target'],participant2,001,2024-10-10_19h10.18.493,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 19h10.30.808189 +0530,
2,0,2,0,6.083806300011929,,6.061103600019123,5,6.083806300011929,6.083806300011929,0.01644590002251789,8.243316299980506,[0.21354166666666666],[0.06770833333333333],[1],[0],[0],[2.166030000022147],['target'],participant2,001,2024-10-10_19h10.18.493,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 19h10.30.808189 +0530,
3,0,3,0,8.282473800005391,,8.245845500030555,10,8.282473800005391,8.282473800005391,0.027669699979014695,10.892399100004695,[-0.23958333333333334],[0.11197916666666667],[1],[0],[0],[2.6189482000190765],['target'],participant2,001,2024-10-10_19h10.18.493,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 19h10.30.808189 +0530,
4,0,4,0,10.916659799986519,,10.895742100023199,5,10.916659799986519,10.916659799986519,0.015158900001551956,12.408852500026114,[-0.09375],[-0.037760416666666664],[1],[0],[0],[1.4983249000506476],['target'],participant2,001,2024-10-10_19h10.18.493,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 19h10.30.808189 +0530,
5,0,5,0,12.433252500020899,,12.411544599977788,5,12.433252500020899,12.433252500020899,0.015040499973110855,13.92582050000783,[-0.3372395833333333],[-0.14322916666666666],[1],[0],[0],[1.4995257999980822],['target'],participant2,001,2024-10-10_19h10.18.493,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 19h10.30.808189 +0530,
6,0,6,0,13.949171299987938,,13.928424999990966,5,13.949171299987938,13.949171299987938,0.01481610001064837,15.425997800019104,[-0.19401041666666666],[0.03125],[1],[0],[0],[1.483033400028944],['target'],participant2,001,2024-10-10_19h10.18.493,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 19h10.30.808189 +0530,
7,0,7,0,15.449185699981172,,15.428691299981438,5,15.449185699981172,15.449185699981172,0.014319900015834719,18.94276110001374,[-0.4427083333333333],[0.009114583333333334],[1],[0],[0],[3.5000515999854542],['target'],participant2,001,2024-10-10_19h10.18.493,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 19h10.30.808189 +0530,
8,0,8,0,18.96696009999141,,18.945777699991595,5,18.96696009999141,18.96696009999141,0.01537889998871833,20.443243400019128,[-0.04296875],[0.02734375],[1],[0],[0],[1.4822854999802075],['target'],participant2,001,2024-10-10_19h10.18.493,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 19h10.30.808189 +0530,
9,0,9,0,20.485933299991302,,20.4458429000224,10,20.485933299991302,20.485933299991302,0.0281474000075832,23.343803700001445,[-0.14713541666666666],[0.4283854166666667],[1],[0],[0],[2.8699795000138693],['target'],participant2,001,2024-10-10_19h10.18.493,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 19h10.30.808189 +0530,
10,0,10,0,23.367103299999144,,23.346476199978497,5,23.367103299999144,23.367103299999144,0.014733399963006377,26.093997200019658,[0.4635416666666667],[-0.037760416666666664],[1],[0],[0],[2.7329741999856196],['target'],participant2,001,2024-10-10_19h10.18.493,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 19h10.30.808189 +0530,
11,0,11,0,26.116998100013006,,26.096856600022875,5,26.116998100013006,26.116998100013006,0.014258599956519902,27.8936935000238,[0.3502604166666667],[0.3072916666666667],[1],[0],[0],[1.7827658000169322],['target'],participant2,001,2024-10-10_19h10.18.493,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 19h10.30.808189 +0530,
12,0,12,0,27.933646799996495,,27.896344500011764,10,27.933646799996495,27.933646799996495,0.027913699974305928,30.39453879999928,[-0.2708333333333333],[-0.140625],[1],[0],[0],[2.4703710000030696],['target'],participant2,001,2024-10-10_19h10.18.493,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 19h10.30.808189 +0530,
13,0,13,0,30.43563570000697,,30.39716180000687,10,30.43563570000697,30.43563570000697,0.029402200016193092,37.22838240000419,[-0.3502604166666667],[-0.3984375],[1],[0],[0],[6.802021600014996],['target'],participant2,001,2024-10-10_19h10.18.493,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 19h10.30.808189 +0530,
14,0,14,0,37.251112700032536,,37.230994699988514,5,37.251112700032536,37.251112700032536,0.01429899997310713,39.461722999985795,[0.2786458333333333],[0.1953125],[1],[0],[0],[2.216671700007282],['target'],participant2,001,2024-10-10_19h10.18.493,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 19h10.30.808189 +0530,
15,0,15,0,39.50384469999699,,39.46431670000311,10,39.50384469999699,39.50384469999699,0.030142300005536526,43.72909079998499,[-0.13671875],[-0.40625],[1],[0],[0],[4.234817000047769],['target'],participant2,001,2024-10-10_19h10.18.493,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 19h10.30.808189 +0530,
16,0,16,0,43.769666599982884,,43.73176059999969,10,43.769666599982884,43.769666599982884,0.028472399979364127,46.94605989998672,[-0.24479166666666666],[0.4231770833333333],[1],[0],[0],[3.186039399995934],['target'],participant2,001,2024-10-10_19h10.18.493,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 19h10.30.808189 +0530,
17,0,17,0,46.96949470002437,,46.94870280002942,5,46.96949470002437,46.96949470002437,0.014908600016497076,50.64651059999596,[-0.5078125],[-0.30078125],[1],[0],[0],[3.683146699971985],[],participant2,001,2024-10-10_19h10.18.493,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 19h10.30.808189 +0530,
18,0,18,0,50.685564499988686,,50.649206200032495,10,50.685564499988686,50.685564499988686,0.02706430002581328,52.59620949998498,[0.24479166666666666],[-0.15104166666666666],[1],[0],[0],[1.9201451999833807],['target'],participant2,001,2024-10-10_19h10.18.493,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 19h10.30.808189 +0530,
19,0,19,0,52.635647399991285,,52.598850500013214,10,52.635647399991285,52.635647399991285,0.027477399969939142,55.08045220002532,[0.2799479166666667],[0.4309895833333333],[1],[0],[0],[2.454382300027646],['target'],participant2,001,2024-10-10_19h10.18.493,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 19h10.30.808189 +0530,
