key_resp.keys,key_resp.corr,tilt,,hit,miss,fa,cr,,,,,,,
down,1,3,,,,,1,,,,,,,
down,1,2,,,,,1,,,,respond YES,respond NO,,
up,0,-2,,,,1,,,,Signal Present,39,18,,
up,1,0,,1,,,,,,Sigal Absent,13,30,,
down,1,3,,,,,1,,,,,,,
up,1,0,,1,,,,,,Prop hit= hit/hit+miss,0.684210526,d-prime=z(prop hit)-z(prop fa),0.997229206,
up,1,0,,1,,,,,,prop fa=fa/fa+cr,0.302325581,c= -(((z(prop hit))+(z(prop fa)))/2),0.01910895,CONSERVATIVE CRITERION
up,1,0,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,
up,0,1,,,,1,,,,,,,,
up,0,-2,,,,1,,,,,,,,
down,0,0,,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,
down,1,-4,,,,,1,,,,,,,
up,1,0,,1,,,,,,,,,,
up,0,-2,,,,1,,,,,,,,
down,1,-3,,,,,1,,,,,,,
down,0,0,,,1,,,,,,,,,
down,0,0,,,1,,,,,,,,,
down,1,1,,,,,1,,,,,,,
up,1,0,,1,,,,,,,,,,
down,1,2,,,,,1,,,,,,,
down,0,0,,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,,
up,0,-2,,,,1,,,,,,,,
up,1,0,,1,,,,,,,,,,
down,1,4,,,,,1,,,,,,,
down,1,4,,,,,1,,,,,,,
down,1,3,,,,,1,,,,,,,
down,1,1,,,,,1,,,,,,,
up,1,0,,1,,,,,,,,,,
down,1,-4,,,,,1,,,,,,,
down,1,-5,,,,,1,,,,,,,
up,1,0,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,
down,0,0,,,1,,,,,,,,,
down,1,-4,,,,,1,,,,,,,
up,0,1,,,,1,,,,,,,,
down,1,3,,,,,1,,,,,,,
up,1,0,,1,,,,,,,,,,
down,1,-4,,,,,1,,,,,,,
up,1,0,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,
down,1,4,,,,,1,,,,,,,
up,1,0,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,
down,1,3,,,,,1,,,,,,,
down,1,-4,,,,,1,,,,,,,
up,1,0,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,
down,1,4,,,,,1,,,,,,,
down,0,0,,,1,,,,,,,,,
up,0,4,,,,1,,,,,,,,
down,0,0,,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,,
down,1,3,,,,,1,,,,,,,
up,0,2,,,,1,,,,,,,,
up,1,0,,1,,,,,,,,,,
down,1,-5,,,,,1,,,,,,,
down,0,0,,,1,,,,,,,,,
down,0,0,,,1,,,,,,,,,
down,0,0,,,1,,,,,,,,,
down,0,0,,,1,,,,,,,,,
down,0,0,,,1,,,,,,,,,
down,0,0,,,1,,,,,,,,,
down,0,0,,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,,
down,0,0,,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,
up,0,3,,,,1,,,,,,,,
up,0,1,,,,1,,,,,,,,
up,1,0,,1,,,,,,,,,,
down,1,-3,,,,,1,,,,,,,
up,1,0,,1,,,,,,,,,,
down,1,2,,,,,1,,,,,,,
down,1,-4,,,,,1,,,,,,,
down,0,0,,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,
down,1,2,,,,,1,,,,,,,
down,0,0,,,1,,,,,,,,,
down,1,-4,,,,,1,,,,,,,
down,1,-4,,,,,1,,,,,,,
up,0,-2,,,,1,,,,,,,,
up,1,0,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,
down,1,-5,,,,,1,,,,,,,
up,1,0,,1,,,,,,,,,,
down,0,0,,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,
down,1,-4,,,,,1,,,,,,,
up,0,2,,,,1,,,,,,,,
up,0,-5,,,,1,,,,,,,,
,,,TOTAL,39,18,13,30,,,,,,,
