trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.0067260999931022525,,0.0037341999995987862,0.0067260999931022525,1.0479372999980114,1.0479372999980114,4.99923739998485,down,1,3.9438305999792647,None,3,ayushi_final,001,2024-09-13_11h58.57.300,D4_exp4_SignalDetectionTheory,2024.1.5,None,2024-09-13 11h59.14.382580 +0530,
1,0,1,0,5.011933900008444,,5.000832299992908,5.011933900008444,6.012035899999319,6.012035899999319,7.029548699996667,down,1,1.0075034000037704,None,2,ayushi_final,001,2024-09-13_11h58.57.300,D4_exp4_SignalDetectionTheory,2024.1.5,None,2024-09-13 11h59.14.382580 +0530,
2,0,2,0,7.045404500007862,,7.0307924000080675,7.045404500007862,8.04571579999174,8.04571579999174,9.013360799988732,up,0,0.957443899998907,None,-2,ayushi_final,001,2024-09-13_11h58.57.300,D4_exp4_SignalDetectionTheory,2024.1.5,None,2024-09-13 11h59.14.382580 +0530,
3,0,3,0,9.029097899998305,,9.014592199993785,9.029097899998305,10.029202999983681,10.029202999983681,10.929942299990216,up,1,0.8904074000020046,None,0,ayushi_final,001,2024-09-13_11h58.57.300,D4_exp4_SignalDetectionTheory,2024.1.5,None,2024-09-13 11h59.14.382580 +0530,
4,0,4,0,10.945781899994472,,10.93123290000949,10.945781899994472,11.945990699983668,11.945990699983668,12.83022569998866,down,1,0.8822328000096604,None,3,ayushi_final,001,2024-09-13_11h58.57.300,D4_exp4_SignalDetectionTheory,2024.1.5,None,2024-09-13 11h59.14.382580 +0530,
5,0,5,0,12.845990100002382,,12.831481300003361,12.845990100002382,13.846259799989639,13.846259799989639,17.88067250000313,up,1,4.031317200016929,None,0,ayushi_final,001,2024-09-13_11h58.57.300,D4_exp4_SignalDetectionTheory,2024.1.5,None,2024-09-13 11h59.14.382580 +0530,
6,0,6,0,17.89735169999767,,17.881906900001923,17.89735169999767,18.896671499998774,18.896671499998774,20.114474400004838,up,1,1.2095881999994162,None,0,ayushi_final,001,2024-09-13_11h58.57.300,D4_exp4_SignalDetectionTheory,2024.1.5,None,2024-09-13 11h59.14.382580 +0530,
7,0,7,0,20.130268000008073,,20.115696699998807,20.130268000008073,21.13080769998487,21.13080769998487,24.23144589998992,up,1,3.0884541000123136,None,0,ayushi_final,001,2024-09-13_11h58.57.300,D4_exp4_SignalDetectionTheory,2024.1.5,None,2024-09-13 11h59.14.382580 +0530,
8,0,8,0,24.24731159998919,,24.232718999992358,24.24731159998919,25.247634200000903,25.247634200000903,26.01514090001001,up,1,0.7546370000054594,None,0,ayushi_final,001,2024-09-13_11h58.57.300,D4_exp4_SignalDetectionTheory,2024.1.5,None,2024-09-13 11h59.14.382580 +0530,
9,0,9,0,26.030820399988443,,26.016437799989944,26.030820399988443,27.03093269999954,27.03093269999954,27.864998300006846,up,0,0.8221439000044484,None,1,ayushi_final,001,2024-09-13_11h58.57.300,D4_exp4_SignalDetectionTheory,2024.1.5,None,2024-09-13 11h59.14.382580 +0530,
10,0,10,0,27.880877799994778,,27.866284299991094,27.880877799994778,28.88104010000825,28.88104010000825,29.648587000003317,up,0,0.7545788999996148,None,-2,ayushi_final,001,2024-09-13_11h58.57.300,D4_exp4_SignalDetectionTheory,2024.1.5,None,2024-09-13 11h59.14.382580 +0530,
11,0,11,0,29.66439970000647,,29.649825300002703,29.66439970000647,30.664806399989175,30.664806399989175,32.79889030000777,down,0,2.12347319998662,None,0,ayushi_final,001,2024-09-13_11h58.57.300,D4_exp4_SignalDetectionTheory,2024.1.5,None,2024-09-13 11h59.14.382580 +0530,
12,0,12,0,32.81472739999299,,32.80017599998973,32.81472739999299,33.81493789999513,33.81493789999513,35.13250320000225,up,1,1.3115634999994654,None,0,ayushi_final,001,2024-09-13_11h58.57.300,D4_exp4_SignalDetectionTheory,2024.1.5,None,2024-09-13 11h59.14.382580 +0530,
13,0,13,0,35.14833450000151,,35.13373259999207,35.14833450000151,36.148656400007894,36.148656400007894,37.316373399982695,up,1,1.166365000011865,None,0,ayushi_final,001,2024-09-13_11h58.57.300,D4_exp4_SignalDetectionTheory,2024.1.5,None,2024-09-13 11h59.14.382580 +0530,
