pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
-50,x,0,0,0,0,,,,,0.0414442,,0.0341901,0.0414442,1.0062087,1.0062087,1.0062087,1.0062087,1.0561389,2.0063438,2.0063438,3.2772098,x,1,1.2189214,None,participant,1,2024-10-11_11h21.46.104,D6_exp6_MotorSequenceLearning,2024.1.5,None,2024-10-11 11h22.06.475114 +0530
150,v,0,1,1,1,,,,,3.2859065,,3.281381,3.2859065,4.2898509,4.2898509,4.2898509,4.2898509,4.2898509,5.2899913,5.2899913,5.7421867,v,1,0.4492173,None,participant,1,2024-10-11_11h21.46.104,D6_exp6_MotorSequenceLearning,2024.1.5,None,2024-10-11 11h22.06.475114 +0530
50,c,0,2,2,2,,,,,5.7571785,,5.7442125,5.7571785,6.7568417,6.7568417,6.7568417,6.7568417,6.7568417,7.7569355,7.7569355,8.5745625,c,1,0.8084687,None,participant,1,2024-10-11_11h21.46.104,D6_exp6_MotorSequenceLearning,2024.1.5,None,2024-10-11 11h22.06.475114 +0530
-150,z,0,3,3,3,,,,,8.5903982,,8.575758,8.5903982,9.5904679,9.5904679,9.5904679,9.5904679,9.5904679,10.5906571,10.5906571,10.9754199,z,1,0.3692203,None,participant,1,2024-10-11_11h21.46.104,D6_exp6_MotorSequenceLearning,2024.1.5,None,2024-10-11 11h22.06.475114 +0530
-50,x,1,0,4,0,,,,,10.9905395,,10.9785632,10.9905395,11.9905657,11.9905657,11.9905657,11.9905657,11.9905657,12.9907306,12.9907306,13.3260551,x,1,0.3239202,None,participant,1,2024-10-11_11h21.46.104,D6_exp6_MotorSequenceLearning,2024.1.5,None,2024-10-11 11h22.06.475114 +0530
150,v,1,1,5,1,,,,,13.3408617,,13.3281145,13.3408617,14.3409089,14.3409089,14.3409089,14.3409089,14.3409089,15.341052,15.341052,15.7927304,v,1,0.4432093,None,participant,1,2024-10-11_11h21.46.104,D6_exp6_MotorSequenceLearning,2024.1.5,None,2024-10-11 11h22.06.475114 +0530
50,c,1,2,6,2,,,,,15.8077248,,15.7945606,15.8077248,16.807777,16.807777,16.807777,16.807777,16.807777,17.8080273,17.8080273,18.209436,c,1,0.390487,None,participant,1,2024-10-11_11h21.46.104,D6_exp6_MotorSequenceLearning,2024.1.5,None,2024-10-11 11h22.06.475114 +0530
-150,z,1,3,7,3,,,,,18.224763,,18.2113063,18.224763,19.2248559,19.2248559,19.2248559,19.2248559,19.2248559,20.2248402,20.2248402,20.6098237,z,1,0.372603,None,participant,1,2024-10-11_11h21.46.104,D6_exp6_MotorSequenceLearning,2024.1.5,None,2024-10-11 11h22.06.475114 +0530
-50,x,2,0,8,0,,,,,20.6249027,,20.611788,20.6249027,21.624863,21.624863,21.624863,21.624863,21.624863,22.6251311,22.6251311,23.0931013,x,1,0.4626251,None,participant,1,2024-10-11_11h21.46.104,D6_exp6_MotorSequenceLearning,2024.1.5,None,2024-10-11 11h22.06.475114 +0530
150,v,2,1,9,1,,,,,23.1084154,,23.0941405,23.1084154,24.1085808,24.1085808,24.1085808,24.1085808,24.1085808,25.1087252,25.1087252,25.5102633,v,1,0.3982068,None,participant,1,2024-10-11_11h21.46.104,D6_exp6_MotorSequenceLearning,2024.1.5,None,2024-10-11 11h22.06.475114 +0530
50,c,2,2,10,2,,,,,25.5253326,,25.5122665,25.5253326,26.5257027,26.5257027,26.5257027,26.5257027,26.5257027,27.5257,27.5257,28.4100205,c,1,0.8674519,None,participant,1,2024-10-11_11h21.46.104,D6_exp6_MotorSequenceLearning,2024.1.5,None,2024-10-11 11h22.06.475114 +0530
-150,z,2,3,11,3,,,,,28.4257194,,28.4117026,28.4257194,29.4258965,29.4258965,29.4258965,29.4258965,29.4258965,30.4258623,30.4258623,30.8107917,z,1,0.3778073,None,participant,1,2024-10-11_11h21.46.104,D6_exp6_MotorSequenceLearning,2024.1.5,None,2024-10-11 11h22.06.475114 +0530
-50,x,3,0,12,0,,,,,30.8259675,,30.8126167,30.8259675,31.8259693,31.8259693,31.8259693,31.8259693,31.8259693,32.8261202,32.8261202,33.2775949,x,1,0.4414761,None,participant,1,2024-10-11_11h21.46.104,D6_exp6_MotorSequenceLearning,2024.1.5,None,2024-10-11 11h22.06.475114 +0530
150,v,3,1,13,1,,,,,33.2927812,,33.2793474,33.2927812,34.2928811,34.2928811,34.2928811,34.2928811,34.2928811,35.2930747,35.2930747,37.6449356,v,1,2.3369406,None,participant,1,2024-10-11_11h21.46.104,D6_exp6_MotorSequenceLearning,2024.1.5,None,2024-10-11 11h22.06.475114 +0530
50,c,3,2,14,2,,,,,37.6601735,,37.6473633,37.6601735,38.6600694,38.6600694,38.6600694,38.6600694,38.6600694,39.6601166,39.6601166,40.6782973,c,1,1.0123986,None,participant,1,2024-10-11_11h21.46.104,D6_exp6_MotorSequenceLearning,2024.1.5,None,2024-10-11 11h22.06.475114 +0530
-150,z,3,3,15,3,,,,,40.6935955,,40.6802406,40.6935955,41.6938065,41.6938065,41.6938065,41.6938065,41.6938065,42.693778,42.693778,43.4955331,z,1,0.7899638,None,participant,1,2024-10-11_11h21.46.104,D6_exp6_MotorSequenceLearning,2024.1.5,None,2024-10-11 11h22.06.475114 +0530
-50,x,4,0,16,0,,,,,43.5105867,,43.4974651,43.5105867,44.5107779,44.5107779,44.5107779,44.5107779,44.5107779,45.5108416,45.5108416,45.9124724,x,1,0.3864644,None,participant,1,2024-10-11_11h21.46.104,D6_exp6_MotorSequenceLearning,2024.1.5,None,2024-10-11 11h22.06.475114 +0530
150,v,4,1,17,1,,,,,45.9275917,,45.9145043,45.9275917,46.9275737,46.9275737,46.9275737,46.9275737,46.9275737,47.9276076,47.9276076,48.3125363,v,1,0.3756849,None,participant,1,2024-10-11_11h21.46.104,D6_exp6_MotorSequenceLearning,2024.1.5,None,2024-10-11 11h22.06.475114 +0530
