delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,polygon_2.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,display_text.started,textbox.started,button.started,response.stopped,textbox.text,button.numClicks,button.timesOn,button.timesOff,participant,session,Exclusion,date,expName,psychopyVersion,frameRate,expStart
0.4,1000,exp,0,0,0,4,0.0555912,,0.0490416,0.0555912,1.0109186,1.0109186,1.0608708,5.4485556,space,4.4299411,None,5.4821637,5.881205667,6.3594905,6.1836653,6.1837069,6.3594905,6.3594905,6.3594905,10.4928212,300,1,[4.155493899999783],[4.155514000000039],Participant 1,1,N/A,2024-11-14_18h36.47.251,IntentionalBinding,2024.1.5,None,2024-11-14 18h37.22.005954 +0530
0.7,1000,exp,0,1,1,8,10.5005181,,10.4965849,10.5005181,11.5113876,11.5113876,11.5113876,11.6798167,space,None,None,11.6812882,12.39508257,12.7056061,12.6954998,12.695527,12.7056061,12.7056061,12.7056061,14.6804222,100,1,[1.9833087999995769],[1.983321600000636],Participant 1,1,N/A,2024-11-14_18h36.47.251,IntentionalBinding,2024.1.5,None,2024-11-14 18h37.22.005954 +0530
0.7,1000,exp,0,2,2,11,14.6954218,,14.6816792,14.6954218,15.695494,15.695494,15.695494,17.5136354,space,1.8049991,None,17.5144068,18.22888567,18.5554909,18.5314078,18.531449,18.5554909,18.5554909,18.5554909,23.0483889,"299
",1,[4.514327700000649],[4.51434270000027],Participant 1,1,N/A,2024-11-14_18h36.47.251,IntentionalBinding,2024.1.5,None,2024-11-14 18h37.22.005954 +0530
0.1,1000,exp,0,3,3,6,23.0632347,,23.050214,23.0632347,24.0631413,24.0631413,24.0631413,24.3984729,space,0.3272942,None,24.399425,24.51321607,24.8362021,24.8114353,24.8114768,24.8362021,24.8362021,24.8362021,29.4673188,"222
",1,[4.652096100000563],[4.6521149999989575],Participant 1,1,N/A,2024-11-14_18h36.47.251,IntentionalBinding,2024.1.5,None,2024-11-14 18h37.22.005954 +0530
0.4,400,unexp,0,4,4,1,29.4805434,,29.4692853,29.4805434,30.480458,30.480458,30.480458,30.5323409,space,0.0350293,None,30.5332439,30.94703947,31.2859216,31.2600244,31.2600735,31.2859216,31.2859216,31.2859216,34.8323411,"666
",1,[3.5696788000004744],[3.56968820000111],Participant 1,1,N/A,2024-11-14_18h36.47.251,IntentionalBinding,2024.1.5,None,2024-11-14 18h37.22.005954 +0530
0.7,400,unexp,0,5,5,2,34.8473901,,34.8332586,34.8473901,35.8476635,35.8476635,35.8476635,38.4997514,space,2.6411007,None,38.5005879,39.21471467,39.5375466,39.5114784,39.5115467,39.5375466,39.5375466,39.5375466,45.9338864,"123
",1,[6.418743300000642],[6.418760000000475],Participant 1,1,N/A,2024-11-14_18h36.47.251,IntentionalBinding,2024.1.5,None,2024-11-14 18h37.22.005954 +0530
0.1,1000,exp,0,6,6,3,45.948886,,45.935847,45.948886,46.9488347,46.9488347,46.9488347,47.0171358,space,None,None,47.0179222,47.13205857,47.45621,47.4323426,47.4323911,47.45621,47.45621,47.45621,50.8847572,"666
",1,[3.4491304000002856],[3.4491477999999915],Participant 1,1,N/A,2024-11-14_18h36.47.251,IntentionalBinding,2024.1.5,None,2024-11-14 18h37.22.005954 +0530
0.4,1000,exp,0,7,7,7,50.8996183,,50.8866607,50.8996183,51.8993433,51.8993433,51.8993433,54.0182112,space,2.1129736,None,54.018975,54.43278317,54.7521159,54.7311861,54.7312389,54.7521159,54.7521159,54.7521159,57.8183272,456,1,[3.0843065999997634],[3.084321700000146],Participant 1,1,N/A,2024-11-14_18h36.47.251,IntentionalBinding,2024.1.5,None,2024-11-14 18h37.22.005954 +0530
0.1,1000,exp,0,8,8,9,57.8333431,,57.8196549,57.8333431,58.8339119,58.8339119,58.8339119,60.1523836,space,1.3087003,None,60.1533392,60.26704027,60.5844975,60.5615841,60.5616255,60.5844975,60.5844975,60.5844975,62.9022618,345,1,[2.338212399999975],[2.3382266000007803],Participant 1,1,N/A,2024-11-14_18h36.47.251,IntentionalBinding,2024.1.5,None,2024-11-14 18h37.22.005954 +0530
0.1,400,unexp,0,9,9,0,62.9171876,,62.9036346,62.9171876,63.917452,63.917452,63.917452,64.5859282,space,0.6535253,None,64.5867954,64.70061017,65.0235526,65.0014133,65.001454,65.0235526,65.0235526,65.0235526,69.003389,534,1,[3.999086100000568],[3.999102600000697],Participant 1,1,N/A,2024-11-14_18h36.47.251,IntentionalBinding,2024.1.5,None,2024-11-14 18h37.22.005954 +0530
