Problem,Option1,Option2,Option3,Option4,Correct_Answer,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,instructions.started,text.started,go_ahead.started,mouse.started,instructions.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,math.started,MATHSUM.started,option1.started,option2.started,option3.started,option4.started,key_resp_2.started,math.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Feedback.started,text_2.started,key_resp.started,Feedback.stopped,key_resp.keys,key_resp.rt,key_resp.duration,MemoryTest.started,Words.started,mouse_2.started,RecallWords.started,endit.started,Words.stopped,MemoryTest.stopped,RecallWords.text,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,participant,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,0.0039204,0.0112786,0.0112786,0.0036123,4.1262272,[-0.0546875],[-0.4114583333333333],[1],[0],[0],[4.120908899989445],['go_ahead'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2024-12-01_14h05.39.897,FinalProject,2024.1.5,None,2024-12-01 14h06.04.583574 +0530
23456 × 89 = ?,a)2087500,b)2087584,c)2090000,d)2085000,b,0,0,0,9,4.2171246,,,,,,,,,,,,,,4.1681605,4.2171246,4.2171246,4.2171246,4.2171246,4.2171246,4.2171246,65.6741605,b,61.431026,None,,,,,,,,,,,,,,,,,,,,,,,2,2024-12-01_14h05.39.897,FinalProject,2024.1.5,None,2024-12-01 14h06.04.583574 +0530
4321 × 43 = ?,a)185000,b)185803,c)186432,d)184210,b,0,1,1,4,65.7468721,,,,,,,,,,,,,,65.7083983,65.7468721,65.7468721,65.7468721,65.7468721,65.7468721,65.7468721,95.0832699,b,29.3331531,None,,,,,,,,,,,,,,,,,,,,,,,2,2024-12-01_14h05.39.897,FinalProject,2024.1.5,None,2024-12-01 14h06.04.583574 +0530
876 × 21 = ?,a)18200,b)18396,c)18500,d)18300,b,0,2,2,8,95.1233472,,,,,,,,,,,,,,95.0842876,95.1233472,95.1233472,95.1233472,95.1233472,95.1233472,95.1233472,113.986158,b,18.8602567,None,,,,,,,,,,,,,,,,,,,,,,,2,2024-12-01_14h05.39.897,FinalProject,2024.1.5,None,2024-12-01 14h06.04.583574 +0530
25 × 54321 = ?,a)1358025,b)1250000,c)1345210,d)1360500,a,0,3,3,2,114.0391738,,,,,,,,,,,,,,113.9876434,114.0391738,114.0391738,114.0391738,114.0391738,114.0391738,114.0391738,148.1713523,a,34.1260073,None,,,,,,,,,,,,,,,,,,,,,,,2,2024-12-01_14h05.39.897,FinalProject,2024.1.5,None,2024-12-01 14h06.04.583574 +0530
98765 + 12345 = ?,a)100000,b)110000,c)111110,d)112120,c,0,4,4,3,148.2185115,,,,,,,,,,,,,,148.1721033,148.2185115,148.2185115,148.2185115,148.2185115,148.2185115,148.2185115,170.2575643,c,22.0335202,None,,,,,,,,,,,,,,,,,,,,,,,2,2024-12-01_14h05.39.897,FinalProject,2024.1.5,None,2024-12-01 14h06.04.583574 +0530
56789 + 23456 = ?,a)79245,b)80245,c)81245,d)78245,b,0,5,5,5,170.2853333,,,,,,,,,,,,,,170.2582908,170.2853333,170.2853333,170.2853333,170.2853333,170.2853333,170.2853333,186.409145,a,16.1193593,None,,,,,,,,,,,,,,,,,,,,,,,2,2024-12-01_14h05.39.897,FinalProject,2024.1.5,None,2024-12-01 14h06.04.583574 +0530
12345 + 67890 = ?,a)79235,b)80235,c)81245,d)78210,b,0,6,6,1,186.431621,,,,,,,,,,,,,,186.4099599,186.431621,186.431621,186.431621,186.431621,186.431621,186.431621,202.5440645,b,16.0973938,None,,,,,,,,,,,,,,,,,,,,,,,2,2024-12-01_14h05.39.897,FinalProject,2024.1.5,None,2024-12-01 14h06.04.583574 +0530
1234 × 56 = ?,a)68000,b)69104,c)70000,d)67500,b,0,7,7,6,202.5640817,,,,,,,,,,,,,,202.5451153,202.5640817,202.5640817,202.5640817,202.5640817,202.5640817,202.5640817,227.463128,b,24.889982,None,,,,,,,,,,,,,,,,,,,,,,,2,2024-12-01_14h05.39.897,FinalProject,2024.1.5,None,2024-12-01 14h06.04.583574 +0530
9876 × 32 = ?,a)316032,b)315000,c)317010,d)314900,a,0,8,8,0,227.4895115,,,,,,,,,,,,,,227.4640539,227.4895115,227.4895115,227.4895115,227.4895115,227.4895115,227.4895115,255.14889,a,27.6443591,None,,,,,,,,,,,,,,,,,,,,,,,2,2024-12-01_14h05.39.897,FinalProject,2024.1.5,None,2024-12-01 14h06.04.583574 +0530
34567 + 76543 = ?,a)111000,b)111110,c)112000,d)110500,b,0,9,9,7,255.1706517,,,,,,,,,,,,,,255.1494219,255.1706517,255.1706517,255.1706517,255.1706517,255.1706517,255.1706517,275.2026932,b,20.0169877,None,,,,,,,,,,,,,,,,,,,,,,,2,2024-12-01_14h05.39.897,FinalProject,2024.1.5,None,2024-12-01 14h06.04.583574 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.2033534,275.2217403,275.2217403,280.8374677,space,5.6059812,None,,,,,,,,,,,,,,,,2,2024-12-01_14h05.39.897,FinalProject,2024.1.5,None,2024-12-01 14h06.04.583574 +0530
