Problem,Option1,Option2,Option3,Option4,Correct_Answer,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,instructions.started,text.started,go_ahead.started,mouse.started,instructions.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,math.started,MATHSUM.started,option1.started,option2.started,option3.started,option4.started,key_resp_2.started,math.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Feedback.started,text_2.started,key_resp.started,Feedback.stopped,key_resp.keys,key_resp.rt,key_resp.duration,MemoryTest.started,Words.started,mouse_2.started,RecallWords.started,endit.started,Words.stopped,MemoryTest.stopped,RecallWords.text,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,participant,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.004044100001920015,0.010832700005266815,0.010832700005266815,0.0037054999847896397,13.154594800027553,[-0.015625],[-0.3919270833333333],[1],[0],[0],[13.149466900038533],['go_ahead'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2024-12-01_14h13.07.843,FinalProject,2024.1.5,None,2024-12-01 14h14.50.909473 +0530,
1234 × 56 = ?,a)68000,b)69104,c)70000,d)67500,b,0,0,0,6,13.214248800009955,,,,,,,,,,,,,,13.183449600008316,13.214248800009955,13.214248800009955,13.214248800009955,13.214248800009955,13.214248800009955,13.214248800009955,43.76202960003866,a,30.53666629997315,None,,,,,,,,,,,,,,,,,,,,,,,3,2024-12-01_14h13.07.843,FinalProject,2024.1.5,None,2024-12-01 14h14.50.909473 +0530,
56789 + 23456 = ?,a)79245,b)80245,c)81245,d)78245,b,0,1,1,5,43.81686980003724,,,,,,,,,,,,,,43.76297949999571,43.81686980003724,43.81686980003724,43.81686980003724,43.81686980003724,43.81686980003724,43.81686980003724,64.13653309998335,b,20.292823700001463,None,,,,,,,,,,,,,,,,,,,,,,,3,2024-12-01_14h13.07.843,FinalProject,2024.1.5,None,2024-12-01 14h14.50.909473 +0530,
98765 + 12345 = ?,a)100000,b)110000,c)111110,d)112120,c,0,2,2,3,64.16485380002996,,,,,,,,,,,,,,64.13754620001419,64.16485380002996,64.16485380002996,64.16485380002996,64.16485380002996,64.16485380002996,64.16485380002996,71.82571639999514,c,7.6547157999593765,None,,,,,,,,,,,,,,,,,,,,,,,3,2024-12-01_14h13.07.843,FinalProject,2024.1.5,None,2024-12-01 14h14.50.909473 +0530,
876 × 21 = ?,a)18200,b)18396,c)18500,d)18300,b,0,3,3,8,71.87172500003362,,,,,,,,,,,,,,71.82650470000226,71.87172500003362,71.87172500003362,71.87172500003362,71.87172500003362,71.87172500003362,71.87172500003362,88.52867319999496,b,16.654727300046943,None,,,,,,,,,,,,,,,,,,,,,,,3,2024-12-01_14h13.07.843,FinalProject,2024.1.5,None,2024-12-01 14h14.50.909473 +0530,
4321 × 43 = ?,a)185000,b)185803,c)186432,d)184210,b,0,4,4,4,88.56302980001783,,,,,,,,,,,,,,88.52955630002543,88.56302980001783,88.56302980001783,88.56302980001783,88.56302980001783,88.56302980001783,88.56302980001783,104.47961009998107,a,15.900869600009173,None,,,,,,,,,,,,,,,,,,,,,,,3,2024-12-01_14h13.07.843,FinalProject,2024.1.5,None,2024-12-01 14h14.50.909473 +0530,
12345 + 67890 = ?,a)79235,b)80235,c)81245,d)78210,b,0,5,5,1,104.4994095999864,,,,,,,,,,,,,,104.48036879999563,104.4994095999864,104.4994095999864,104.4994095999864,104.4994095999864,104.4994095999864,104.4994095999864,117.73068650002824,b,13.218238100002054,None,,,,,,,,,,,,,,,,,,,,,,,3,2024-12-01_14h13.07.843,FinalProject,2024.1.5,None,2024-12-01 14h14.50.909473 +0530,
23456 × 89 = ?,a)2087500,b)2087584,c)2090000,d)2085000,b,0,6,6,9,117.7565300000133,,,,,,,,,,,,,,117.73181670001941,117.7565300000133,117.7565300000133,117.7565300000133,117.7565300000133,117.7565300000133,117.7565300000133,124.86421909998171,b,7.097401500039268,None,,,,,,,,,,,,,,,,,,,,,,,3,2024-12-01_14h13.07.843,FinalProject,2024.1.5,None,2024-12-01 14h14.50.909473 +0530,
25 × 54321 = ?,a)1358025,b)1250000,c)1345210,d)1360500,a,0,7,7,2,124.88882110000122,,,,,,,,,,,,,,124.8647974000196,124.88882110000122,124.88882110000122,124.88882110000122,124.88882110000122,124.88882110000122,124.88882110000122,128.98282899998594,a,4.080634900019504,None,,,,,,,,,,,,,,,,,,,,,,,3,2024-12-01_14h13.07.843,FinalProject,2024.1.5,None,2024-12-01 14h14.50.909473 +0530,
9876 × 32 = ?,a)316032,b)315000,c)317010,d)314900,a,0,8,8,0,129.00730699999258,,,,,,,,,,,,,,128.9839582000277,129.00730699999258,129.00730699999258,129.00730699999258,129.00730699999258,129.00730699999258,129.00730699999258,132.08329989999766,a,3.0734552000067197,None,,,,,,,,,,,,,,,,,,,,,,,3,2024-12-01_14h13.07.843,FinalProject,2024.1.5,None,2024-12-01 14h14.50.909473 +0530,
34567 + 76543 = ?,a)111000,b)111110,c)112000,d)110500,b,0,9,9,7,132.11204209999414,,,,,,,,,,,,,,132.0841575000086,132.11204209999414,132.11204209999414,132.11204209999414,132.11204209999414,132.11204209999414,132.11204209999414,137.73483249999117,b,5.619953700050246,None,,,,,,,,,,,,,,,,,,,,,,,3,2024-12-01_14h13.07.843,FinalProject,2024.1.5,None,2024-12-01 14h14.50.909473 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.73554050002713,137.76669170003152,137.76669170003152,153.45142629998736,space,15.669241899973713,None,,,,,,,,,,,,,,,,3,2024-12-01_14h13.07.843,FinalProject,2024.1.5,None,2024-12-01 14h14.50.909473 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.45149030000903,153.46623990003718,0.0012784999562427402,193.46650119998958,193.46650119998958,193.47837650001748,260.73093379999045,"journey, Mystery, Aspire, memory, history, ",[0.5091145833333334],[0.009114583333333334],[1],[0],[0],[107.27706580003724],['endit'],3,2024-12-01_14h13.07.843,FinalProject,2024.1.5,None,2024-12-01 14h14.50.909473 +0530,
